skill name,intent name,sample type,slot name,slot type
skills/3unyt/Alexa-Intern-Helper,CaptureUserNameIntent,1,name,AMAZON.FirstName
skills/AndrewSenol/theStudyBarAlexa/testDB,firstNameOne,2,firstName,AMAZON.US_FIRST_NAME
skills/AndrewSenol/theStudyBarAlexa/testDB,lastNameOne,2,lastName,last_names
skills/AndrewSenol/theStudyBarAlexa/testDB,myNameIs,2,firstName,AMAZON.US_FIRST_NAME
skills/AndrewSenol/theStudyBarAlexa/testDB,myNameIs,2,lastName,last_names
skills/AndrewSenol/theStudyBarAlexa/testDB,checkIn,2,firstName,AMAZON.US_FIRST_NAME
skills/AndrewSenol/theStudyBarAlexa/testDB,checkIn,2,lastName,last_names
skills/AndrewSenol/theStudyBarAlexa/testDB,signIn,2,firstName,AMAZON.US_FIRST_NAME
skills/AndrewSenol/theStudyBarAlexa/testDB,signIn,2,lastName,last_names
skills/AndrewSenol/theStudyBarAlexa/timesheetTSB,signIn,2,firstName,AMAZON.US_FIRST_NAME
skills/AndrewSenol/theStudyBarAlexa/timesheetTSB,signIn,2,lastName,Last_Names
skills/AndrewSenol/theStudyBarAlexa/timesheetTSB,signOut,2,firstName,AMAZON.US_FIRST_NAME
skills/AndrewSenol/theStudyBarAlexa/timesheetTSB,signOut,2,lastName,Last_Names
skills/CORaleigh/alexa-cor-webhook,Recycling,1,promptedAddress,AMAZON.StreetAddress
skills/CORaleigh/alexa-cor-webhook,SolidWaste,-1,address,AMAZON.StreetAddress
skills/CamiWilliams/LevelUpRiddles-Workshop/Step_1_-_Add_Advanced_Voice_Design,PlayGameIntent,1,name,AMAZON.US_FIRST_NAME
skills/CamiWilliams/LevelUpRiddles-Workshop/Step_2_-_Add_ISP,PlayGameIntent,1,name,AMAZON.US_FIRST_NAME
skills/CamiWilliams/LevelUpRiddles-Workshop/Step_3_-_Add_APL,PlayGameIntent,1,name,AMAZON.US_FIRST_NAME
skills/Ehabdiab2000/ALEXA-Nurse-Skill-1,NameIntent,2,name,AMAZON.FirstName
skills/Ehabdiab2000/AEXA-Nurse-Skill-2,AgeIntent,2,age,AMAZON.NUMBER
skills/EthanDev/theCar,customerOnboardingIntent,2,customerName,AMAZON.FirstName
skills/Ioana-Nadia/BachelorDegree,RegisterNameIntent,1,name,AMAZON.DE_FIRST_NAME
skills/Pacman17/AlexaVisitorSkill,RecordNewVisitorIntent,1,name,AMAZON.FirstName
skills/SuneetPatil/Alexa-Basic-Welcome,WelcomeIntent,2,name,AMAZON.US_FIRST_NAME
skills/SwapnilShahGit/STEM-Party,NameIntent,2,fname,AMAZON.US_FIRST_NAME
skills/TruJared/letsread,GetPlayerInfoIntent,1,name,AMAZON.US_FIRST_NAME
skills/alexa-labs/skill-sample-nodejs-level-up-riddles/Step_1_-_Add_Advanced_Voice_Design,PlayGameIntent,1,name,AMAZON.US_FIRST_NAME
skills/alexa-labs/skill-sample-nodejs-level-up-riddles/Step_2_-_Add_ISP,PlayGameIntent,1,name,AMAZON.US_FIRST_NAME
skills/alexa-labs/skill-sample-nodejs-level-up-riddles/Step_3_-_Add_APL,PlayGameIntent,1,name,AMAZON.US_FIRST_NAME
skills/alexa-samples/skill-sample-nodejs-college-finder,RefineSearchIntent,2,LOCATION,LOCATION
skills/alexa-samples/skill-sample-nodejs-the-foodie,RecommendationIntent,1,name,AMAZON.US_FIRST_NAME
skills/annalenastrx/ClothingRecommendation/SkillDownload,WelcomeIntent,1,name,AMAZON.DE_FIRST_NAME
skills/annalenastrx/ClothingRecommendation/VSCodeDownload/skill-package,WelcomeIntent,1,name,AMAZON.DE_FIRST_NAME
